"PLANET_IDX","P_NAME","star_code","relative mass (earth)","Density (Earth)","RELATIVE RADIUS","TERRAIN TYPE","TYPE_CLIMATE"
947,"Lunaris XI",7161,0.64,0.571,1.04,"cave|river|grassy hill|verdant|jungle|vine|ice canyon","temperate|artic|frozen|humid|frigid|tropical"
948,"Lunaris XX",7161,3.22,1.239,1.37,"cityscape|lava river|ice cave|volcano|grassy hill|jungle","arid|subartic|frozen|tropical|frigid|humid|temperate"
949,"Shaula III",904,1.87,0.829,1.31,"plateau","frozen|temperate|hot|frigid"
950,"Aurum Quasar Faunios",9655,3.82,1.027,1.55,"vine|volcano","humid|superheated"
951,"Polis Museios",8536,4.96,0.912,1.76,"sea|lava river|canyons|volcano|ocean","frozen|subartic|temperate|windy|arid"
952,"Sadalmelik Poseidian",9711,0.6,1.263,0.78,"hill|rock arche|fungus forest","hot|temperate"
953,"Alphecca Psi",2304,0.43,0.946,0.77,"canyons|cliff","frozen|artic|artificial temperate|frigid"
954,"Alphecca Tau",2304,0.75,1.452,0.8,"tundra|savanna|grassy hill|island|jungle|volcano|rocky island|rocky desert","temperate|rocky|arid|frozen|tropical"
955,"Nusakan Artemian",8782,6.2,0.539,2.26,"city|ocean|sinkholes|plateau|forest","frozen|windy|frigid|temperate|hot"
956,"Lunarianth Chi",2399,3.2,1.64,1.25,"forest","rocky|temperate|hot|windy"
957,"Galactrix Athenian",6263,0.5,1.048,0.78,"ice canyon|fungus forest|forest|rocky canyon|jungle|cityscape|island","temperate|frigid|subartic|windy|superheated|hot|frozen"
958,"Tania Australis X",8647,4.04,0.876,1.66,"urban","frozen|arid|tropical|temperate"
959,"Furud Shi",459,9.22,1.307,1.92,"urban","frozen|windy|hot|subartic"
960,"Furud Er",459,4.2,1.316,1.47,"rocky desert|forest","windy|artic|artificial temperate"
961,"Furud Qi",459,2.71,1.339,1.26,"valley|island|cityscape|river|mountain","frigid|windy|frozen|subartic"
962,"Furud Jiu",459,5.07,1.249,1.6,"mountain|rocky desert|river|rocky canyon","temperate|arid|artic"
963,"Mimosa Theta",6398,1.15,0.962,1.06,"valley|savanna|ice canyon|forest|city","frigid|hot|artificial temperate"
964,"Rasalas Nonal",1292,1.77,0.622,1.42,"verdant","artic|windy"
965,"Fulu San",6072,2.38,0.984,1.34,"city","temperate|hot|humid"
966,"Umbral Depths XVIII",1882,2.32,1.144,1.27,"grassy hill","artificial temperate|frozen|hot|windy"
967,"Umbral Depths VII",1882,3.59,1.675,NA,"urban|rocky desert","arid|subartic|superheated|artificial temperate"
968,"Umbral Depths XI",1882,0.71,1.174,0.85,"plateau","rocky|frigid|superheated"
969,"Umbral Depths XV",1882,6.71,0.519,2.35,"field|city|island|savanna","artificial temperate|frozen|tropical|arid|humid"
970,"Umbral Depths XII",1882,1.21,1.135,1.02,"forest|city|lakes|plateau","hot|artificial temperate|subartic|temperate|tropical"
971,"Galactic Ember I",9141,8.69,0.982,2.07,"plain|tundra|glacier","humid|superheated|subartic|frozen"
972,"Galactic Ember XXI",9141,1.57,1.389,1.04,"fungus forest","humid|frozen|superheated|tropical|subartic"
973,"Galactic Ember II",9141,2.41,0.436,1.77,"sea|glacier|rainforest|forest|island","windy|rocky|frigid|tropical|superheated"
974,"Schedar Vigesimal",9299,4.2,0.999,1.61,"lava river|rocky desert","temperate|frozen|rocky|artic|hot|artificial temperate"
975,"Frostbeard XVI",7463,2.65,0.705,1.55,"desert|acid pool|barren","rocky|arid|windy"
976,"Frostbeard XIV",7463,5.82,0.636,2.09,"rock arche|river|sinkholes","temperate|humid|tropical|hot|frozen"
977,"Edasich Zeta",582,0.85,1.085,0.92,"island","humid"
978,"Edasich Alpha",582,2.77,0.846,1.48,"river|island","frigid"
979,"Edasich Lambda",582,1.54,0.884,1.2,"bog|cityscape|valley","temperate|artic|frozen"
980,"Edasich Nu",582,1.96,NA,1.33,"grassy hill|reef","humid|tropical|hot|windy|rocky|artic"
981,"Ebon Cosmos Sextant",7114,4.88,1.422,1.51,"plain|tundra|rocky canyon|rocky island|ice canyon","subartic|temperate|frigid"
982,"Ebon Cosmos Nonal",7114,2.76,1.275,1.29,"lakes|cave|ocean|rocky island|lava river|glacier|ash","frozen|artic|arid|artificial temperate|superheated"
983,"Ebon Cosmos Vigesimal",7114,0.67,0.568,1.06,"field|vine","frozen|artificial temperate|windy"
984,"Ebon Cosmos Octal",7114,4.59,1.106,1.61,"field","temperate|subartic"
985,"Nebulosys Er",1548,7.73,1.136,1.9,"city|rocky island|forest|mountain","hot|artificial temperate|tropical|rocky"
986,"Nebulosys Shi",1548,2.43,0.708,1.51,"valley","hot|superheated|frozen|temperate"
987,"Nebulosys Si",1548,2.21,1.337,1.18,"plateau","subartic|arid"
988,"Nebulosys Jiu",1548,7.69,1.307,1.81,"glacier|tundra","windy|subartic"
989,"Nebulosys Qi",1548,1.06,0.87,1.07,"ice cave|lava river","artic|temperate|arid"
990,"Kaze Celestial XXII",8436,1.04,1.119,0.98,"barren|vine","subartic|frozen|temperate|arid"
991,"Minchir Morphean",4587,5.7,1.203,1.68,"rocky canyon|plain|reef|hill|sea","artificial temperate|subartic|humid"
992,"Chaophraya XVIII",1004,2.16,0.908,NA,"acid pool|lakes|ash|reef|desert","tropical|superheated|artificial temperate|arid|frozen|temperate"
993,"Chaophraya I",1004,3.26,1.094,1.44,"mountain|rock arche|ocean","humid|artificial temperate"
994,"Mekbuda III",7479,0.84,0.874,0.99,"cliff","frigid|humid|subartic|frozen"
995,"Mekbuda VII",7479,6.17,0.945,1.87,"savanna|river|barren|cityscape|bog|tundra|verdant|ocean","frozen|arid|artic|humid|subartic"
996,"Mekbuda XXIII",6151,5.07,1.33,1.56,"acid pool|savanna","superheated|rocky"
997,"Mekbuda XXII",7479,2.21,0.822,1.39,"plain","subartic|frozen"
998,"Stormrider Nereidos",3812,4.53,0.702,1.86,"hill|reef","windy|artificial temperate|rocky"
999,"Sylvari Psychean",9757,8.02,0.996,2,"ice canyon|ash|fungus forest|tundra|reef","frigid|superheated|subartic|windy|humid|temperate"
1000,"Gloas Psi",3697,1.77,1.103,1.17,"glacier","subartic|rocky"
1001,"Tangra XVIII",8631,1.13,1.043,1.03,"ash|rock arche|verdant|rocky canyon","tropical|windy|temperate|superheated"
1002,"Tangra XXIV",8631,4.27,1.209,1.52,"verdant|cityscape","temperate"
1003,"Tangra X",8631,2.57,NA,1.39,"toxic cloudsea|cave","superheated|frigid|rocky|tropical|frozen|arid"
1004,"Tangra I",8631,5.96,1.139,1.74,"rocky canyon|ice cave|mountain","hot|frozen|rocky|arid|artic|frigid"
1005,"Ashlesha Centaurios",1348,0.76,0.482,1.16,"city|glacier|rock arche|rocky desert","frigid|windy|humid|subartic|superheated|frozen|arid"
1006,"Ashlesha Dionian",1348,4.76,0.855,1.77,"hill|cliff","superheated|windy"
1007,"Ashlesha Persephonian",1348,2.49,1.329,1.23,"field|cityscape|tundra","frozen|artificial temperate|tropical|windy"
1008,"Ashlesha Apollox",1348,6.51,0.762,2.04,"plateau","rocky"
1009,"Shinju Serenity Delta",1135,5.86,1.177,1.71,"verdant|valley|fungus forest","superheated|hot|frozen|arid|tropical|frigid"
1010,"Rigil Kentaurus Prime",7304,6.18,1.336,1.67,"cave|field|rocky island","rocky|hot"
1011,"Rigil Kentaurus Vigesimal",7304,2.53,1.159,1.3,"ash|reef|vine|lava river","artificial temperate|hot|subartic|frozen|frigid|temperate|windy"
1012,"Rigil Kentaurus Decimal",7304,7.36,0.489,2.47,"forest|toxic cloudsea|river|cave","artificial temperate|frozen|tropical|hot|subartic"
1013,"Rigil Kentaurus Quartal",7304,5.13,1.064,1.69,"river|scrubland|savanna|rock arche|plain|field","artic|tropical|arid|temperate"
1014,"Rigil Kentaurus Secant",7304,5.38,1.215,1.64,"city|lakes","tropical"
1015,"Aldulfin Vigesimal",443,6.32,0.775,2.01,"tundra|hill|ocean|urban|grassy hill","frozen|artificial temperate|artic"
1016,"Jishui Herculean",2400,1.78,0.924,1.24,"valley","windy|subartic|superheated"
1017,"Uruk Septimal",7379,6.33,1.485,1.62,"forest|rocky canyon","windy|hot|tropical"
1018,"Uruk Prime",7379,2.42,1.274,1.24,"field|reef","tropical|artic|superheated|temperate"
1019,"Uruk Tertial",7379,1.1,1.292,0.95,"sea|plateau|sinkholes|tundra","hot|arid|windy|frozen"
1020,"Uruk Nonal",7379,6.13,0.793,1.98,"field","tropical|hot|artificial temperate|windy"
1021,"Uruk Octal",7379,8.31,1.29,NA,"cliff|cityscape|barren|rocky desert|grassland|tundra","artic|arid|humid|rocky"
1022,"Mebsuta San",2123,0.63,1.058,0.84,"desert|lava river|rocky canyon|cave|bog|barren|volcano|field|rocky desert","tropical|artic|hot|frigid|windy|arid|rocky"
1023,"Mebsuta Er",2123,3.12,1.02,1.45,"rocky island|grassy hill|river|grassland|hill","tropical|arid|temperate"
1024,"Mebsuta Jiu",2123,1.01,1.457,0.88,"urban","superheated|frigid|hot"
1025,"Mebsuta Yi",2123,8.35,1.179,1.92,"verdant|grassy hill","hot|humid"
1026,"Chechia Theta",8945,4.63,0.982,1.68,"canyons|toxic cloudsea|scrubland","frozen|artificial temperate|arid|artic"
1027,"Chechia Epsilon",8945,4.91,0.833,1.81,"ice cave|sinkholes|cityscape","hot|frigid"
1028,"Chechia Omega",8945,1.63,0.92,1.21,"forest|fungus forest|canyons|lakes","windy|artic|frozen|artificial temperate|arid|rocky|humid"
1029,"Chechia Pi",8945,2.81,0.904,1.46,"scrubland|river|urban","superheated|rocky|arid"
1030,"Mazaalai XIII",1263,7.01,0.783,2.08,"forest|urban|canyons|lava river|rocky island","hot|windy|superheated|subartic|frigid|rocky"
1031,"Mazaalai III",1263,7.67,0.905,2.04,"lava river|sinkholes|urban|cave|ash","superheated|tropical|frigid|windy"
1032,"Mazaalai VIII",1263,1.92,0.899,1.29,"scrubland|ice cave|desert|urban|city|forest|mountain|rocky island","tropical|subartic|frozen|artificial temperate|rocky|arid"
1033,"Belel Hadean",4727,9.3,0.775,2.29,"savanna|mountain","tropical|superheated"
1034,"Axólotl Qi",5242,4.57,1.33,1.51,"savanna|acid pool|field|rocky desert","artic|hot|frigid|frozen|windy"
1035,"Axólotl Si",5242,1.82,0.962,1.24,"acid pool|swamp|grassy hill|tundra|glacier","temperate|humid|windy|artic|subartic|artificial temperate"
1036,"Achernar XV",3462,1.99,1.257,1.17,"verdant|rainforest|vine|lakes|canyons|sinkholes|forest|cityscape|rock arche","rocky|frozen|humid|hot|arid|frigid"
1037,"Sakura Mirage Gaian",1374,0.97,0.723,1.1,"verdant|rocky desert|savanna","rocky|windy|tropical|artic"
1038,"Sakura Mirage Gaios",1374,1.45,1.449,1,"ice canyon|field|volcano|toxic cloudsea|mountain|forest|verdant|grassland","subartic|humid|temperate|frozen|artic|arid|superheated"
1039,"Betelgeuse Museios",9426,5.6,1.049,1.75,"island|hill","windy|frigid"
1040,"Nebula Whisper Hermian",8425,4.92,0.844,1.8,"plain|plateau|scrubland|forest","subartic|hot|artic|arid|rocky"
1041,"Aldebaran Olympios",2101,7.62,1.208,1.85,"ash|tundra|verdant","superheated|subartic|tropical|humid|temperate|frigid|artic"
1042,"Phecda Museios",5231,1.41,0.864,1.18,"city","superheated|temperate|artificial temperate|arid"
1043,"Samurai's Veil Mu",9317,3.43,0.851,1.59,"ocean|jungle|barren|fungus forest|swamp|desert|cliff|grassland|forest","artificial temperate|hot|temperate|tropical|superheated|arid"
1044,"Samurai's Veil Phi",9317,3.46,1.044,1.49,"toxic cloudsea","rocky|frozen"
1045,"Samurai's Veil Theta",9317,1.6,1.03,1.16,"city|cave","subartic"
1046,"Samurai's Veil Kappa",9317,5.97,1.183,1.72,"mountain|glacier|cliff|rock arche|rocky island","humid|artificial temperate|rocky|subartic"
1047,"Samurai's Veil Lambda",9317,2.48,0.902,1.4,"river|field","hot|windy|arid|temperate|subartic"
1048,"Galaxara Duodecimal",8701,2.74,1.009,1.4,"swamp|rock arche|glacier|city|rocky island","humid|subartic|frozen|artificial temperate|superheated"
1049,"Tesserara Sirenios",1967,3.01,1.239,1.34,"reef|island","artic|superheated|hot"
1050,"Alderamin Ba",4252,3.06,1.167,1.38,"city|canyons","superheated|hot|rocky"
1051,"Vermilion Expanse XI",6731,5,1.058,1.68,"rainforest|mountain","windy|humid|temperate"
1052,"Vermilion Expanse X",6731,1.58,NA,1.06,"hill|rainforest|jungle|ocean|island","humid|artificial temperate|rocky|frozen"
1053,"Vermilion Expanse XXIII",6731,0.62,1.345,0.77,"sea|forest|city|rocky island|scrubland|barren","hot|superheated|arid|rocky"
1054,"Vermilion Expanse XXI",6731,2.44,1.085,1.31,"hill|ice cave","humid|artic"
1055,"Kasai Jiu",7497,0.71,1.155,0.85,"rocky desert|vine","humid|frozen"
1056,"Kasai Er",7497,4.16,1.171,1.53,"urban|river|glacier|desert","temperate|windy|superheated|frigid|humid|artic"
1057,"Kasai Shi",7497,3.15,1.075,1.43,"volcano","subartic|frozen|tropical|arid|frigid"
1058,"Kasai Wu",7497,8.24,1.175,1.91,"tundra|island","frozen|artificial temperate|tropical|rocky"
1059,"Wasat Ba",553,1.28,NA,1.11,"rocky canyon","temperate|tropical|frigid|artic"
1060,"Wasat Shi",553,2.68,0.896,1.44,"rainforest|volcano|sinkholes","rocky|hot|arid|superheated|frigid"
1061,"Wasat Qi",553,2.59,0.981,1.38,"reef|hill|vine|rocky canyon|ice canyon","temperate|artificial temperate|frozen"
1062,"Alrescha Zeta",4440,4.88,0.984,1.71,"lakes|canyons","frigid|temperate|artificial temperate|rocky"
1063,"Alrescha Phi",4440,2.66,0.847,1.46,"jungle|grassy hill","temperate|superheated|hot|artic|humid"
1064,"Ombraflux Hermesios",5182,5.09,NA,1.61,"ocean|rocky island","artificial temperate"
1065,"Ombraflux Hadean",5182,7.31,0.723,2.16,"city|rocky island|sinkholes|ice cave","hot|artic|humid|tropical|subartic"
1066,"Ombraflux Tritonian",5182,3.79,0.821,1.66,"rock arche|rocky canyon","windy|arid"
1067,"Ombraflux Asclepian",5182,0.83,0.88,0.98,"city","temperate|hot|arid"
1068,"Ombraflux Nemesisian",5182,3.37,0.919,1.54,"field|rainforest|verdant","rocky|artificial temperate|subartic|superheated|temperate|frigid|windy"
1069,"Ryusei Tertial",9169,3.76,0.939,1.59,"vine","superheated|hot|frozen|artic"
1070,"Ryusei Nonal",9169,0.95,0.859,1.03,"mountain|swamp","rocky|tropical|frozen|artic|temperate|humid|artificial temperate"
1071,"Paikauhale Omega",1801,6.57,1.282,1.72,"toxic cloudsea|grassland|cityscape|cliff","humid|temperate|artic|frigid|artificial temperate"
1072,"Yūgen Shadows Decimal",72,5.91,1.064,1.77,"jungle|verdant|field|river","tropical|frozen|subartic|windy"
1073,"Yūgen Shadows Octal",72,5.06,1.179,1.63,"volcano|sea","subartic|frigid|temperate|hot|windy|tropical"
1074,"Ukiyo Reverie Hermesios",4259,0.69,0.393,1.21,"ice canyon|verdant","subartic|windy|frigid"
1075,"Alpheratz Phi",2506,6.91,0.997,1.91,"sinkholes|lakes|valley|forest|savanna|cityscape|island","subartic|artificial temperate|windy|artic|frozen|superheated"
1076,"Obelisk Whisper IX",4386,5.01,1.437,1.52,"barren","artificial temperate|arid|superheated|hot|frozen|humid"
1077,"Amadioha XVIII",1682,9.1,0.728,2.32,"rock arche","rocky|subartic|artificial temperate|frigid|superheated"
1078,"Torii Shadows Eosian",4979,7.45,0.925,NA,"rock arche","rocky|frigid|windy"
1079,"Torii Shadows Olympus",4979,1.23,1.429,0.95,"cityscape|bog","subartic|artic|frozen|superheated|hot"
1080,"Torii Shadows Gaian",4979,3.78,0.888,1.62,"verdant|grassy hill|rocky canyon|reef|field|plateau","windy|superheated|frozen|frigid|artificial temperate"
1081,"Quasarionara Pegasusian",8504,2.03,0.738,1.4,"rainforest|city|ice cave|ocean|toxic cloudsea|canyons|scrubland|volcano","windy|frozen|arid|rocky|temperate|humid"
1082,"Spectral Veil Octal",4848,2.57,0.932,1.4,"lakes|plateau|field","arid|humid|temperate"
1083,"Spectral Veil Septimal",4848,3.53,1.113,1.47,"jungle|rocky canyon|reef|verdant|plain|grassland|grassy hill|rock arche","temperate|frigid|superheated|arid|subartic"
1084,"Spectral Veil Undecimal",4848,1.8,0.904,1.26,"jungle|ocean|bog|sea|fungus forest|river","superheated|temperate|artic|hot|artificial temperate|frozen"
1085,"Spectral Veil Nonal",4848,6.24,0.742,2.03,"rocky desert|verdant|ice cave","arid|windy|subartic"
1086,"Toliman Tau",8256,1.28,0.77,1.18,"rocky island|fungus forest|forest","humid|frigid"
1087,"Toliman Beta",8256,5.77,0.852,1.89,"lakes|hill|savanna|volcano|field","superheated|humid|windy|frigid|rocky"
1088,"Quanticus IX",1029,3.32,1.066,1.46,"valley|hill|toxic cloudsea|rocky island|ice cave|urban|canyons","tropical|artic|artificial temperate|subartic|hot|temperate"
1089,"Quanticus XIX",1029,5.16,0.505,2.17,"sea|lakes|acid pool","rocky|arid|temperate|artificial temperate|superheated"
1090,"Quanticus II",1029,1.23,0.857,1.13,"grassy hill|hill|sea|island|cliff","hot|subartic|windy|frigid"
1091,"Quanticus I",1029,6.3,1.54,1.6,"sea|mountain|island","artic|hot"
1092,"Quanticus XXIV",1029,1.77,0.92,1.24,"river","rocky|artificial temperate|subartic|tropical"
1093,"Alshat Psi",1051,1.95,0.881,1.3,"volcano","frigid|humid|rocky|superheated"
1094,"Salm Tertial",1953,2.59,1.261,1.27,"city","subartic"
1095,"Giausar Olympios",7544,1.13,0.653,1.2,"forest|grassland|bog|lava river|swamp|glacier|city|volcano","frozen|arid|windy|humid|artic|artificial temperate"
1096,"Giausar Faunios",7544,4.08,1.392,1.43,"grassy hill|acid pool|river","humid|tropical|windy|superheated|frozen"
1097,"Berehynia XV",7242,1.2,0.845,1.12,"field|island|rocky canyon|valley","frigid|subartic|artificial temperate|arid"
1098,"Beemim Sextant",478,1.13,0.97,1.05,"cave|bog|ocean|lakes|jungle|rocky desert|verdant|urban","artic|frozen|tropical|rocky|windy|subartic"
1099,"Beemim Nonal",478,2.49,0.89,1.41,"rocky island|forest|jungle|cityscape|city|grassy hill","arid|frozen|rocky|tropical|hot"
1100,"Adhara Poseidian",6451,4.34,0.828,1.74,"city|plain|ice cave","artificial temperate|artic"
1101,"Ronin's Veil Chi",8566,2.5,0.67,1.55,"cave","superheated|artic|arid|humid"
1102,"Ronin's Veil Iota",8566,2.27,0.877,1.37,"toxic cloudsea|desert|grassy hill|field|rock arche","hot|frigid|rocky|artificial temperate|frozen"
1103,"Ronin's Veil Zeta",8566,3.65,0.79,1.67,"plain|sea|ice cave|ocean|rocky island|cliff|grassy hill|river","subartic|superheated|rocky|artificial temperate|frigid"
1104,"Ronin's Veil Sigma",8566,6.46,0.909,1.92,"grassy hill","artificial temperate|windy|frigid|tropical"
1105,"Ronin's Veil Delta",8566,2.96,0.993,1.44,"rock arche","windy|artic|frozen"
1106,"Algol Undecimal",6654,3.03,1.17,1.37,"river","artic|hot|rocky|windy|frozen|temperate"
1107,"Quantum Quasar Duodecimal",3028,2.26,1.029,1.3,"plateau|swamp|cave|grassy hill|lakes","temperate|hot|superheated|tropical"
1108,"Quantum Quasar Nonal",3028,7.21,1.116,NA,"canyons|jungle|verdant","temperate|frigid|tropical"
1109,"Nekkar Shi",1055,4.8,1.379,1.52,"river","hot|arid|frozen|superheated|temperate"
1110,"Nekkar San",1055,4.16,0.978,1.62,"valley|vine|volcano","windy|subartic|artic|arid"
1111,"Buna Orphean",2430,2.53,1.076,1.33,"swamp|toxic cloudsea","superheated|tropical|artic"
1112,"Izar Irisian",530,1.55,0.779,1.26,"bog|canyons|city","temperate|hot|rocky|superheated|humid|frozen"
1113,"Izar Asclepian",530,4.7,0.553,2.04,"cliff|acid pool|vine|lava river|mountain","frigid|arid|subartic|superheated"
1114,"Izar Zephyrian",530,7.97,0.846,2.11,"forest","subartic|temperate"
1115,"Zenitharian Janusian",4847,0.73,1.306,0.82,"river","tropical|rocky|windy|arid"
1116,"Asterope Decimal",6795,4.5,1.166,1.57,"plain","superheated|temperate|windy"
1117,"Asterope Tertial",6795,4.59,0.994,1.67,"rock arche","arid|superheated"
1118,"Asterope Nonal",6795,1.23,0.959,1.09,"river|cave|plain","hot|subartic"
1119,"Mothallah Quintal",1393,1.83,0.859,1.29,"mountain|cliff","subartic|frigid|frozen|artic|artificial temperate|humid"
1120,"Mothallah Secant",1393,1.93,1.029,1.23,"glacier","windy"
1121,"Mothallah Undecimal",1393,0.6,1.023,0.84,"urban|ice cave","artic|windy|rocky"
1122,"Mothallah Nonal",1393,5.63,0.836,1.89,"sinkholes|rocky canyon","subartic|artificial temperate|hot|rocky|humid"
1123,"Galaxy Seraph Vigesimal",5125,6.94,1.528,1.66,"bog","windy"
1124,"Galaxy Seraph Quartal",5125,1.62,0.832,1.25,"river|sinkholes|cityscape","frigid|superheated|artic|hot|frozen|windy|arid"
1125,"Galaxy Seraph Undecimal",5125,5.55,0.644,2.05,"ice cave|jungle","frigid|hot"
1126,"Galaxy Seraph Secant",5125,0.37,1.403,0.64,"volcano","arid|tropical"
